Date,Open,High,Low,Close,Volume,Adj Close
2015-04-08,16.20,16.25,15.40,15.69,15555300,15.69
2015-04-07,15.89,16.49,15.57,16.20,19757500,16.20
2015-04-06,15.97,15.97,15.97,15.97,000,15.97
2015-04-03,15.03,16.36,15.03,15.97,18010200,15.97
2015-04-02,15.10,15.29,14.83,15.01,11159200,15.01
2015-04-01,14.80,15.15,14.70,15.09,11768300,15.09
2015-03-31,14.67,15.20,14.67,14.83,11420300,14.83
2015-03-30,14.78,14.79,14.45,14.67,9903700,14.67
2015-03-27,15.38,15.57,14.31,14.88,14097200,14.88
2015-03-26,15.33,15.80,14.60,15.34,25198600,15.34
2015-03-25,14.06,14.98,13.78,14.92,18276300,11.48
2015-03-24,18.65,18.76,17.50,18.26,7295500,14.05
2015-03-23,17.89,18.82,17.80,18.45,9170900,14.19
2015-03-20,22.94,23.35,22.80,23.02,6772900,17.71
2015-03-19,22.49,23.14,22.49,22.88,7895800,17.60
2015-03-18,22.19,22.58,21.87,22.27,5132200,17.13
2015-03-17,22.26,22.91,21.70,22.19,7472600,17.07
2015-03-16,21.64,22.01,21.39,22.00,5147100,16.92
2015-03-13,21.42,21.88,21.42,21.64,3762000,16.65
2015-03-12,21.40,22.23,21.40,21.64,6362200,16.65
2015-03-11,21.80,22.19,21.06,21.33,4410500,16.41
2015-03-10,21.93,22.35,21.61,22.07,4755200,16.98
2015-03-09,21.74,22.27,21.16,21.96,6542600,16.89
2015-03-06,20.80,22.26,20.67,21.80,13357800,16.77
2015-03-05,20.31,21.01,19.92,20.96,7874300,16.12
2015-03-04,19.95,20.49,19.82,20.31,3899400,15.62
2015-03-03,20.93,20.99,19.86,19.92,5790400,15.32
2015-03-02,20.55,21.02,20.31,20.89,4459400,16.07
2015-02-27,20.57,20.94,20.15,20.50,3057100,15.77
2015-02-26,20.41,21.06,20.28,20.57,1715000,15.82
2015-02-25,20.89,20.92,20.12,20.57,2466600,15.82
2015-02-24,20.90,20.90,20.90,20.90,000,16.08
2015-02-23,20.90,20.90,20.90,20.90,000,16.08
2015-02-20,20.90,20.90,20.90,20.90,000,16.08
2015-02-19,20.90,20.90,20.90,20.90,000,16.08
2015-02-18,20.90,20.90,20.90,20.90,000,16.08
2015-02-17,20.44,21.45,19.90,20.90,3411000,16.08
2015-02-16,19.75,20.54,19.49,20.42,2736300,15.71
2015-02-13,19.08,19.82,19.08,19.59,1551000,15.07
2015-02-12,19.11,19.54,18.98,19.04,1600800,14.65
2015-02-11,18.72,19.36,18.72,19.11,1271300,14.70
2015-02-10,18.65,19.33,18.62,19.04,1638900,14.65
2015-02-09,18.93,19.19,18.49,18.72,1605200,14.40
2015-02-06,19.69,19.69,18.91,18.93,2081500,14.56
2015-02-05,20.06,20.10,19.47,19.71,3556100,15.16
2015-02-04,19.76,20.12,19.75,19.80,2162400,15.23
2015-02-03,19.76,20.12,19.27,19.77,2214600,15.21
2015-02-02,19.64,19.97,19.02,19.72,2988400,15.17
2015-01-30,20.16,20.34,19.56,19.64,5030000,15.11
2015-01-29,21.05,21.05,20.11,20.15,6539300,15.50
2015-01-28,20.99,21.53,20.41,21.12,5561900,16.25
2015-01-27,20.18,21.11,20.06,21.10,7232200,16.23
2015-01-26,19.25,20.42,19.25,20.19,5909000,15.53
2015-01-23,19.54,19.79,19.34,19.40,3883000,14.92
2015-01-22,19.72,19.79,19.19,19.68,6425800,15.14
2015-01-21,19.49,20.24,19.38,19.67,7767300,15.13
2015-01-20,18.59,19.32,18.47,19.17,6525700,14.75
2015-01-19,18.59,19.20,18.04,18.60,4811800,14.31
2015-01-16,18.98,19.11,18.45,18.86,5181600,14.51
2015-01-15,17.94,19.45,17.58,18.91,12524600,14.55
2015-01-14,17.55,17.99,17.33,17.68,4142300,13.60
2015-01-13,17.78,17.90,17.61,17.78,2119200,13.68
2015-01-12,17.59,17.84,17.46,17.68,2171600,13.60
2015-01-09,17.55,17.94,17.32,17.80,3030100,13.69
2015-01-08,17.58,17.78,17.29,17.55,2747900,13.50
2015-01-07,17.58,17.87,17.42,17.58,2317000,13.52
2015-01-06,17.55,18.00,17.28,17.78,3557400,13.68
2015-01-05,17.80,18.02,17.07,17.74,3516000,13.65
2015-01-02,17.77,17.77,17.77,17.77,000,13.67
2015-01-01,17.77,17.77,17.77,17.77,000,13.67
2014-12-31,17.78,18.13,17.34,17.77,3759600,13.67
2014-12-30,18.00,18.32,17.71,18.04,3168600,13.88
2014-12-29,18.17,18.25,17.78,18.02,2005700,13.86
2014-12-26,17.78,18.85,17.78,18.23,5271400,14.02
2014-12-25,17.67,18.06,17.67,17.80,3423600,13.69
2014-12-24,16.80,18.46,16.70,17.67,4846400,13.59
2014-12-23,17.09,17.58,16.57,16.78,4188200,12.91
2014-12-22,18.17,18.43,16.68,16.70,6835700,12.85
2014-12-19,18.55,18.55,17.87,18.11,2999600,13.93
2014-12-18,18.56,18.77,18.30,18.55,3158900,14.27
2014-12-17,19.06,19.24,18.42,18.59,4497000,14.30
2014-12-16,19.34,19.69,18.78,19.33,6964200,14.87
2014-12-15,18.59,19.24,18.45,19.15,6049600,14.73
2014-12-12,18.28,18.69,17.98,18.64,7945600,14.34
2014-12-11,17.94,18.45,17.81,18.28,3929900,14.06
2014-12-10,17.33,18.29,17.29,18.07,5390300,13.90
