Date,Open,High,Low,Close,Volume,Adj Close
2015-04-08,12.30,12.67,11.90,12.39,14574300,12.39
2015-04-07,11.65,12.69,11.46,12.41,19767800,12.41
2015-04-06,11.54,11.54,11.54,11.54,000,11.54
2015-04-03,10.79,11.68,10.61,11.54,14642200,11.54
2015-04-02,10.49,10.80,10.43,10.79,11787900,10.79
2015-04-01,10.29,10.49,10.20,10.48,8465100,10.48
2015-03-31,10.44,10.57,10.20,10.37,10304000,10.37
2015-03-30,10.06,10.44,9.98,10.38,13722500,10.38
2015-03-27,9.96,10.07,9.81,10.05,8051300,10.05
2015-03-26,9.98,10.25,9.85,9.95,10810400,9.95
2015-03-25,9.76,10.04,9.60,10.02,10270700,10.02
2015-03-24,10.00,10.00,9.49,9.76,11998200,9.76
2015-03-23,9.91,10.08,9.86,9.99,9390100,9.99
2015-03-20,9.84,9.96,9.72,9.85,8543700,9.85
2015-03-19,9.62,10.11,9.59,9.83,17878600,9.83
2015-03-18,9.41,9.62,9.36,9.55,13588500,9.55
2015-03-17,9.44,9.56,9.35,9.46,11701500,9.46
2015-03-16,9.16,9.58,9.15,9.48,12518900,9.48
2015-03-13,9.05,9.16,9.00,9.14,4890800,9.14
2015-03-12,9.00,9.08,8.86,9.05,6699200,9.05
2015-03-11,9.15,9.18,8.95,9.03,4266100,9.03
2015-03-10,8.99,9.19,8.94,9.15,5501900,9.15
2015-03-09,8.89,9.03,8.77,9.00,4983800,9.00
2015-03-06,9.08,9.19,8.88,8.94,6422500,8.94
2015-03-05,9.22,9.28,9.03,9.08,9917000,9.08
2015-03-04,9.06,9.30,9.01,9.29,9549700,9.29
2015-03-03,9.05,9.10,8.93,9.06,10290600,9.06
2015-03-02,8.90,9.08,8.82,9.08,11892800,9.08
2015-02-27,8.85,8.89,8.77,8.88,5991700,8.88
2015-02-26,8.60,8.86,8.57,8.85,7079800,8.85
2015-02-25,8.73,8.81,8.56,8.61,5682600,8.61
2015-02-24,8.75,8.75,8.75,8.75,000,8.75
2015-02-23,8.75,8.75,8.75,8.75,000,8.75
2015-02-20,8.75,8.75,8.75,8.75,000,8.75
2015-02-19,8.75,8.75,8.75,8.75,000,8.75
2015-02-18,8.75,8.75,8.75,8.75,000,8.75
2015-02-17,8.76,8.86,8.71,8.75,7153300,8.75
2015-02-16,8.59,8.77,8.56,8.74,7953600,8.74
2015-02-13,8.63,8.70,8.60,8.61,7204900,8.61
2015-02-12,8.59,8.62,8.50,8.62,5219700,8.62
2015-02-11,8.49,8.63,8.40,8.57,7950300,8.57
2015-02-10,8.53,8.73,8.47,8.53,8405700,8.53
2015-02-09,8.62,8.83,8.51,8.63,11246300,8.63
2015-02-06,8.55,8.84,8.43,8.70,18339100,8.70
2015-02-05,8.37,8.70,8.33,8.59,14150700,8.59
2015-02-04,8.28,8.35,8.20,8.31,3766300,8.31
2015-02-03,8.16,8.35,8.12,8.30,4729000,8.30
2015-02-02,8.20,8.20,8.06,8.15,3789600,8.15
2015-01-30,8.49,8.49,8.24,8.25,3301600,8.25
2015-01-29,8.40,8.52,8.31,8.48,4244600,8.48
2015-01-28,8.55,8.55,8.42,8.47,3496000,8.47
2015-01-27,8.44,8.55,8.37,8.54,10225900,8.54
2015-01-26,8.19,8.43,8.13,8.40,6312900,8.40
2015-01-23,8.32,8.32,8.15,8.20,4569800,8.20
2015-01-22,8.28,8.37,8.21,8.33,4313000,8.33
2015-01-21,8.07,8.33,8.04,8.31,5190200,8.31
2015-01-20,7.87,8.19,7.87,8.13,4115800,8.13
2015-01-19,8.16,8.27,7.78,7.88,5393400,7.88
2015-01-16,8.25,8.36,8.21,8.35,3708800,8.35
2015-01-15,8.16,8.32,8.14,8.30,2659700,8.30
2015-01-14,8.26,8.28,8.08,8.14,3967300,8.14
2015-01-13,8.10,8.26,8.10,8.25,2481600,8.25
2015-01-12,8.46,8.46,8.11,8.14,6124800,8.14
2015-01-09,8.63,8.66,8.46,8.48,4967800,8.48
2015-01-08,8.86,8.90,8.56,8.61,5728100,8.61
2015-01-07,8.90,8.98,8.74,8.85,5310900,8.85
2015-01-06,8.78,8.94,8.71,8.89,7546300,8.89
2015-01-05,8.53,8.86,8.51,8.86,8990500,8.86
2015-01-02,8.52,8.52,8.52,8.52,000,8.52
2015-01-01,8.52,8.52,8.52,8.52,000,8.52
2014-12-31,8.51,8.63,8.36,8.52,3626300,8.52
2014-12-30,8.51,8.69,8.41,8.51,6353200,8.51
2014-12-29,8.74,8.84,8.52,8.60,5978300,8.60
2014-12-26,8.86,8.88,8.72,8.81,6124400,8.81
2014-12-25,8.66,8.88,8.55,8.86,7151900,8.86
2014-12-24,8.33,8.70,8.32,8.65,6559800,8.65
2014-12-23,8.59,8.72,8.29,8.31,7453000,8.31
2014-12-22,9.17,9.20,8.50,8.62,13425100,8.62
2014-12-19,9.02,9.37,8.86,9.16,14923600,9.16
2014-12-18,8.52,9.37,8.46,9.14,19028700,9.14
2014-12-17,8.72,8.72,8.41,8.52,6376600,8.52
2014-12-16,8.60,8.75,8.55,8.73,6569600,8.73
2014-12-15,8.69,8.86,8.58,8.75,11167200,8.75
2014-12-12,8.41,8.70,8.37,8.69,12287100,8.69
2014-12-11,8.22,8.46,8.13,8.46,10325500,8.46
2014-12-10,8.05,8.24,8.02,8.23,8389600,8.23
