Date,Open,High,Low,Close,Volume,Adj Close
2015-04-08,68.79,70.83,64.76,67.91,9567100,67.91
2015-04-07,60.50,66.01,60.50,66.01,7515300,66.01
2015-04-06,60.01,60.01,60.01,60.01,000,60.01
2015-04-03,61.20,63.33,59.70,60.01,5706000,60.01
2015-04-02,59.57,62.80,59.10,62.03,6536800,62.03
2015-04-01,56.02,60.10,55.00,59.77,8043600,59.77
2015-03-31,54.93,56.85,54.00,55.97,6399400,55.97
2015-03-30,56.32,57.80,54.03,54.89,6073300,54.89
2015-03-27,56.55,58.04,54.40,56.92,9379600,56.92
2015-03-26,60.20,61.00,56.65,56.67,12458900,56.67
2015-03-25,64.00,68.85,61.00,62.94,9596300,62.94
2015-03-24,60.10,65.22,57.50,65.22,11577200,65.22
2015-03-23,53.13,59.58,53.13,59.29,8867400,59.29
2015-03-20,50.00,55.48,49.50,54.22,7854800,54.22
2015-03-19,46.30,50.71,45.70,50.44,7828200,50.44
2015-03-18,43.10,47.47,42.71,46.70,8291500,46.70
2015-03-17,44.91,46.36,43.68,44.57,7181600,44.57
2015-03-16,42.05,45.49,42.02,44.90,11490800,44.90
2015-03-13,38.20,41.40,37.60,41.35,8251300,41.35
2015-03-12,38.83,39.62,37.48,37.99,4182700,37.99
2015-03-11,39.83,39.99,38.33,38.78,3871000,38.78
2015-03-10,39.90,40.05,38.90,39.31,5442400,39.31
2015-03-09,38.75,40.65,37.60,40.09,5432900,40.09
2015-03-06,40.80,41.43,38.45,38.75,5758200,38.75
2015-03-05,42.00,43.20,40.25,40.90,5461000,40.90
2015-03-04,42.80,44.30,42.00,42.35,4818700,42.35
2015-03-03,43.18,45.20,42.11,43.16,5870700,43.16
2015-03-02,42.00,44.44,40.61,43.18,6898900,43.18
2015-02-27,41.20,42.30,39.90,41.51,7744500,41.51
2015-02-26,42.29,43.01,39.72,41.62,6535400,41.62
2015-02-25,47.00,47.00,41.70,42.73,4763700,42.73
2015-02-24,45.45,45.45,45.45,45.45,000,45.45
2015-02-23,45.45,45.45,45.45,45.45,000,45.45
2015-02-20,45.45,45.45,45.45,45.45,000,45.45
2015-02-19,45.45,45.45,45.45,45.45,000,45.45
2015-02-18,45.45,45.45,45.45,45.45,000,45.45
2015-02-17,42.98,45.51,42.50,45.45,4648700,45.45
2015-02-16,42.89,44.35,40.35,43.35,6411600,43.35
2015-02-13,42.29,44.35,40.81,41.95,5260400,41.95
2015-02-12,41.01,44.59,40.98,42.17,6788700,42.17
2015-02-11,39.50,42.65,39.01,41.27,6670100,41.27
2015-02-10,37.50,40.00,36.80,39.43,4938900,39.43
2015-02-09,38.60,39.95,37.20,37.60,5518000,37.60
2015-02-06,44.00,44.70,38.55,39.43,8836800,39.43
2015-02-05,38.00,42.80,37.49,42.80,7283800,42.80
2015-02-04,38.77,39.88,37.39,38.91,5870300,38.91
2015-02-03,36.52,40.19,36.00,38.40,7430700,38.40
2015-02-02,34.87,36.88,34.30,36.58,5924300,36.58
2015-01-30,37.98,38.20,35.18,35.27,6664300,35.27
2015-01-29,38.08,38.33,36.66,37.58,6925500,37.58
2015-01-28,40.98,41.29,38.00,38.44,9658000,38.44
2015-01-27,40.55,43.60,39.98,40.98,11874800,40.98
2015-01-26,37.28,39.64,37.27,39.64,4908400,39.64
2015-01-23,38.80,38.87,35.96,36.04,5894800,36.04
2015-01-22,34.45,37.74,34.45,37.74,8099200,37.74
2015-01-21,34.40,36.35,33.18,34.31,5977600,34.31
2015-01-20,31.96,34.77,31.20,34.39,5270900,34.39
2015-01-19,30.38,32.05,30.31,31.68,6362100,31.68
2015-01-16,29.60,32.14,28.86,31.72,5533600,31.72
2015-01-15,29.56,30.80,29.38,29.83,2557200,29.83
2015-01-14,31.08,31.28,29.50,29.82,6489500,29.82
2015-01-13,28.42,31.78,28.42,31.35,12648100,31.35
2015-01-12,27.05,28.90,26.90,28.89,8812500,28.89
2015-01-09,25.82,28.40,25.82,27.46,6724000,27.46
2015-01-08,26.16,26.62,25.45,25.82,3060100,25.82
2015-01-07,26.99,26.99,25.92,26.47,2560200,26.47
2015-01-06,25.83,27.90,25.30,27.02,4341300,27.02
2015-01-05,26.13,26.93,25.20,26.07,3181500,26.07
2015-01-02,26.93,26.93,26.93,26.93,000,26.93
2015-01-01,26.93,26.93,26.93,26.93,000,26.93
2014-12-31,25.81,27.00,25.75,26.93,2462700,26.93
2014-12-30,26.60,26.66,23.84,26.47,6037000,26.47
2014-12-29,28.07,28.07,25.95,26.49,3590200,26.49
2014-12-26,27.08,28.40,26.81,28.09,4023800,28.09
2014-12-25,26.40,27.93,26.40,27.54,4559600,27.54
2014-12-24,25.70,26.70,25.55,25.83,3719400,25.83
2014-12-23,25.21,26.99,24.80,25.10,9105800,25.10
2014-12-22,29.60,29.60,27.04,27.04,5943000,27.04
2014-12-19,29.16,31.65,29.16,30.04,10856500,30.04
2014-12-18,30.51,31.01,28.26,29.33,14477300,29.33
2014-12-17,29.50,32.41,29.27,31.06,20541200,31.06
2014-12-16,31.81,31.81,28.88,30.14,29419900,30.14
2014-12-15,28.92,28.92,28.92,28.92,996300,28.92
2014-12-12,26.29,26.29,26.29,26.29,1188900,26.29
2014-12-11,23.90,23.90,23.90,23.90,110900,23.90
2014-12-10,21.73,21.73,21.73,21.73,163000,21.73
