Date,Open,High,Low,Close,Volume,Adj Close
2015-04-08,8.82,9.18,8.68,8.86,45324000,8.86
2015-04-07,8.32,8.87,8.32,8.82,45761200,8.82
2015-04-06,8.32,8.32,8.32,8.32,000,8.32
2015-04-03,8.27,8.38,8.15,8.32,37133200,8.32
2015-04-02,8.27,8.40,7.99,8.28,45807600,8.28
2015-04-01,7.99,8.33,7.93,8.22,44103700,8.22
2015-03-31,8.15,8.18,7.90,7.99,44429000,7.99
2015-03-30,7.70,8.31,7.61,8.16,70735100,8.16
2015-03-27,7.80,8.05,7.60,7.66,47205200,7.66
2015-03-26,7.21,7.91,7.11,7.80,80882400,7.80
2015-03-25,7.16,7.33,7.11,7.20,39001500,7.20
2015-03-24,7.20,7.20,6.91,7.15,36556500,7.15
2015-03-23,7.18,7.23,7.07,7.19,35745900,7.19
2015-03-20,7.13,7.21,7.10,7.15,34412200,7.15
2015-03-19,7.25,7.25,7.05,7.14,47480100,7.14
2015-03-18,7.28,7.61,7.22,7.29,64489900,7.29
2015-03-17,6.75,7.40,6.68,7.24,62210000,7.24
2015-03-16,6.62,6.78,6.54,6.74,32693100,6.74
2015-03-13,6.35,6.62,6.31,6.58,41978100,6.58
2015-03-12,6.33,6.40,6.26,6.31,16170400,6.31
2015-03-11,6.25,6.42,6.25,6.31,22671900,6.31
2015-03-10,6.20,6.30,6.15,6.25,15285200,6.25
2015-03-09,6.08,6.21,6.00,6.20,12490500,6.20
2015-03-06,6.13,6.19,6.06,6.10,11836200,6.10
2015-03-05,6.19,6.22,6.06,6.15,17081100,6.15
2015-03-04,6.20,6.26,6.18,6.22,14248500,6.22
2015-03-03,6.36,6.36,6.20,6.22,15846400,6.22
2015-03-02,6.35,6.42,6.25,6.41,24121300,6.41
2015-02-27,6.29,6.39,6.23,6.27,15292600,6.27
2015-02-26,6.14,6.33,6.11,6.30,14589300,6.30
2015-02-25,6.38,6.44,6.14,6.14,22922500,6.14
2015-02-24,6.37,6.37,6.37,6.37,000,6.37
2015-02-23,6.37,6.37,6.37,6.37,000,6.37
2015-02-20,6.37,6.37,6.37,6.37,000,6.37
2015-02-19,6.37,6.37,6.37,6.37,000,6.37
2015-02-18,6.37,6.37,6.37,6.37,000,6.37
2015-02-17,6.23,6.50,6.19,6.37,28007700,6.37
2015-02-16,6.14,6.25,6.07,6.22,20366100,6.22
2015-02-13,6.11,6.20,6.09,6.14,20338500,6.14
2015-02-12,6.16,6.19,6.01,6.11,17999000,6.11
2015-02-11,6.02,6.20,5.96,6.16,32529800,6.16
2015-02-10,5.69,6.05,5.69,6.02,27952800,6.02
2015-02-09,5.73,5.76,5.64,5.71,7088800,5.71
2015-02-06,5.81,5.90,5.73,5.76,12184800,5.76
2015-02-05,5.89,5.99,5.78,5.82,15270700,5.82
2015-02-04,5.77,5.94,5.76,5.80,17420600,5.80
2015-02-03,5.64,5.80,5.58,5.78,11865800,5.78
2015-02-02,5.66,5.72,5.56,5.61,11588300,5.61
2015-01-30,5.89,5.92,5.72,5.73,13819300,5.73
2015-01-29,5.78,5.97,5.74,5.89,17972200,5.89
2015-01-28,5.94,5.94,5.81,5.81,12727800,5.81
2015-01-27,6.04,6.05,5.84,5.95,19097600,5.95
2015-01-26,5.82,6.03,5.82,6.01,21542600,6.01
2015-01-23,5.85,5.88,5.81,5.83,14509900,5.83
2015-01-22,5.81,5.87,5.76,5.83,15739100,5.83
2015-01-21,5.59,5.79,5.58,5.79,18883200,5.79
2015-01-20,5.45,5.63,5.44,5.57,13768700,5.57
2015-01-19,5.68,5.81,5.30,5.42,23857900,5.42
2015-01-16,5.83,5.93,5.83,5.87,15944700,5.87
2015-01-15,5.76,5.85,5.68,5.83,9735400,5.83
2015-01-14,5.86,5.96,5.72,5.72,14612400,5.72
2015-01-13,5.75,5.89,5.65,5.87,22419000,5.87
2015-01-12,5.98,5.98,5.70,5.75,17495800,5.75
2015-01-09,6.01,6.10,5.98,6.00,21174300,6.00
2015-01-08,6.10,6.15,5.99,6.03,24031000,6.03
2015-01-07,6.10,6.11,5.98,6.04,24508100,6.04
2015-01-06,6.01,6.17,5.93,6.07,38444400,6.07
2015-01-05,5.87,6.08,5.79,6.00,53913100,6.00
2015-01-02,5.80,5.80,5.80,5.80,000,5.80
2015-01-01,5.80,5.80,5.80,5.80,000,5.80
2014-12-31,5.68,5.80,5.66,5.80,23549100,5.80
2014-12-30,5.98,5.99,5.65,5.72,36884800,5.72
2014-12-29,6.27,6.32,5.90,6.00,32192900,6.00
2014-12-26,6.09,6.28,6.07,6.24,22898600,6.24
2014-12-25,5.91,6.09,5.91,6.09,12298200,6.09
2014-12-24,6.08,6.15,5.83,5.93,18231700,5.93
2014-12-23,6.17,6.23,6.04,6.06,15330400,6.06
2014-12-22,6.45,6.46,6.04,6.21,41271900,6.21
2014-12-19,6.38,6.60,6.35,6.50,34963400,6.50
2014-12-18,6.53,6.53,6.35,6.38,26429200,6.38
2014-12-17,6.41,6.64,6.36,6.57,36902200,6.57
2014-12-16,6.56,6.58,6.29,6.44,36750500,6.44
2014-12-15,6.80,6.85,6.45,6.56,35384700,6.56
2014-12-12,6.79,6.85,6.46,6.59,40025700,6.59
2014-12-11,6.38,6.98,6.27,6.78,77958700,6.78
2014-12-10,5.92,6.48,5.77,6.37,56085100,6.37
