Date,Open,High,Low,Close,Volume,Adj Close
2015-04-08,12.34,12.37,11.77,11.84,16775600,11.84
2015-04-07,11.90,12.39,11.75,12.20,21996300,12.20
2015-04-06,11.79,11.79,11.79,11.79,000,11.79
2015-04-03,11.85,11.95,11.56,11.79,15534700,11.79
2015-04-02,11.95,12.15,11.81,11.92,14758500,11.92
2015-04-01,11.60,12.10,11.51,12.06,15395600,12.06
2015-03-31,11.55,11.77,11.39,11.62,13990400,11.62
2015-03-30,11.50,11.58,11.32,11.55,11622600,11.55
2015-03-27,11.39,11.55,11.26,11.49,10394600,11.49
2015-03-26,11.43,11.56,11.26,11.40,9762300,11.40
2015-03-25,11.39,11.51,11.10,11.40,12010300,11.40
2015-03-24,11.67,11.78,11.00,11.42,18162800,11.42
2015-03-23,11.82,12.18,11.50,11.67,25519500,11.67
2015-03-20,11.15,11.84,11.07,11.72,26826800,11.72
2015-03-19,10.70,11.19,10.60,11.15,22450300,11.15
2015-03-18,10.62,10.83,10.54,10.75,16312800,10.75
2015-03-17,10.42,10.65,10.37,10.59,13568600,10.59
2015-03-16,10.21,10.47,10.21,10.42,12751000,10.42
2015-03-13,10.27,10.27,10.18,10.24,5776700,10.24
2015-03-12,10.22,10.35,10.17,10.25,5616700,10.25
2015-03-11,10.42,10.42,10.21,10.24,6807900,10.24
2015-03-10,10.48,10.57,10.35,10.42,9564600,10.42
2015-03-09,10.39,10.65,10.24,10.51,15491400,10.51
2015-03-06,10.22,10.57,10.05,10.46,20031700,10.46
2015-03-05,10.22,10.28,9.98,10.22,15078700,10.22
2015-03-04,10.25,10.36,10.16,10.22,14612400,10.22
2015-03-03,10.34,10.41,10.21,10.32,18653900,10.32
2015-03-02,9.92,10.73,9.90,10.45,23883700,10.45
2015-02-27,9.93,10.00,9.88,9.94,8954500,9.94
2015-02-26,9.74,9.98,9.74,9.96,9404000,9.96
2015-02-25,9.66,9.83,9.65,9.76,6144900,9.76
2015-02-24,9.66,9.66,9.66,9.66,000,9.66
2015-02-23,9.66,9.66,9.66,9.66,000,9.66
2015-02-20,9.66,9.66,9.66,9.66,000,9.66
2015-02-19,9.66,9.66,9.66,9.66,000,9.66
2015-02-18,9.66,9.66,9.66,9.66,000,9.66
2015-02-17,9.70,9.81,9.63,9.66,6858900,9.66
2015-02-16,9.55,9.74,9.51,9.73,6296900,9.73
2015-02-13,9.44,9.62,9.41,9.59,7333300,9.59
2015-02-12,9.40,9.49,9.32,9.43,3503500,9.43
2015-02-11,9.27,9.46,9.27,9.40,3072000,9.40
2015-02-10,9.24,9.37,9.21,9.27,2190800,9.27
2015-02-09,9.19,9.28,9.10,9.20,2346300,9.20
2015-02-06,9.34,9.36,9.14,9.19,3363500,9.19
2015-02-05,9.43,9.45,9.30,9.33,6988600,9.33
2015-02-04,9.48,9.56,9.31,9.33,5535100,9.33
2015-02-03,9.41,9.49,9.36,9.47,5381500,9.47
2015-02-02,9.59,9.59,9.29,9.42,8042400,9.42
2015-01-30,10.03,10.05,9.71,9.73,12614900,9.73
2015-01-29,9.58,10.00,9.52,9.99,20865300,9.99
2015-01-28,9.56,9.64,9.50,9.62,7900100,9.62
2015-01-27,9.60,9.63,9.47,9.57,7501100,9.57
2015-01-26,9.56,9.60,9.48,9.60,8019000,9.60
2015-01-23,9.61,9.78,9.50,9.54,10917100,9.54
2015-01-22,9.63,9.66,9.46,9.63,11601100,9.63
2015-01-21,9.43,9.66,9.34,9.63,14838000,9.63
2015-01-20,9.22,9.44,9.13,9.42,18830900,9.42
2015-01-19,9.09,9.36,8.91,9.22,27720700,9.22
2015-01-16,9.10,9.16,9.01,9.15,13579600,9.15
2015-01-15,9.07,9.26,8.97,9.14,10246400,9.14
2015-01-14,9.39,9.40,9.00,9.12,7456900,9.12
2015-01-13,9.30,9.42,9.22,9.39,4484900,9.39
2015-01-12,9.48,9.59,9.28,9.34,4116100,9.34
2015-01-09,9.74,9.77,9.35,9.47,9684200,9.47
2015-01-08,9.94,9.94,9.62,9.73,5204300,9.73
2015-01-07,9.56,9.93,9.49,9.92,9574600,9.92
2015-01-06,9.80,9.81,9.20,9.64,16298200,9.64
2015-01-05,9.82,10.10,9.72,9.89,8568200,9.89
2015-01-02,10.37,10.37,10.37,10.37,000,10.37
2015-01-01,10.37,10.37,10.37,10.37,000,10.37
2014-12-31,10.11,10.49,10.11,10.37,2004700,10.37
2014-12-30,10.57,10.62,10.30,10.34,2696800,10.34
2014-12-29,10.89,10.98,10.63,10.67,2670800,10.67
2014-12-26,10.92,10.99,10.68,10.95,3553900,10.95
2014-12-25,10.79,10.97,10.70,10.87,2672500,10.87
2014-12-24,10.90,11.09,10.72,10.89,2448200,10.89
2014-12-23,11.44,11.46,10.51,10.90,3016500,10.90
2014-12-22,11.55,11.98,10.90,11.31,5616100,11.31
2014-12-19,11.55,11.56,11.11,11.36,3721900,11.36
2014-12-18,11.72,12.04,11.59,11.62,5311500,11.62
2014-12-17,11.52,11.80,11.40,11.75,8064900,11.75
2014-12-16,11.27,11.75,11.25,11.50,5223200,11.50
2014-12-15,10.81,11.72,10.57,11.48,7187100,11.48
2014-12-12,10.71,10.88,10.68,10.81,3983200,10.81
2014-12-11,10.60,10.86,10.50,10.71,6448000,10.71
2014-12-10,10.49,10.88,10.30,10.68,8382800,10.68
