Date,Open,High,Low,Close,Volume,Adj Close
2015-04-08,5.01,5.05,4.92,5.04,880345100,5.04
2015-04-07,4.93,5.00,4.90,5.00,861760900,5.00
2015-04-06,4.87,4.87,4.87,4.87,000,4.87
2015-04-03,4.81,4.89,4.79,4.87,514181800,4.87
2015-04-02,4.91,4.92,4.81,4.85,555922200,4.85
2015-04-01,4.83,4.92,4.82,4.89,682475700,4.89
2015-03-31,4.99,5.01,4.82,4.86,1004747700,4.86
2015-03-30,4.75,4.94,4.74,4.92,1137506300,4.92
2015-03-27,4.73,4.75,4.67,4.71,454051800,4.71
2015-03-26,4.65,4.76,4.62,4.72,467425500,4.72
2015-03-25,4.78,4.81,4.68,4.69,650708800,4.69
2015-03-24,4.81,4.87,4.75,4.80,777551500,4.80
2015-03-23,4.78,4.81,4.74,4.78,534961300,4.78
2015-03-20,4.68,4.78,4.65,4.72,596498100,4.72
2015-03-19,4.73,4.74,4.67,4.69,517945600,4.69
2015-03-18,4.63,4.74,4.62,4.73,620859800,4.73
2015-03-17,4.62,4.64,4.60,4.63,454549500,4.63
2015-03-16,4.59,4.62,4.55,4.60,391708100,4.60
2015-03-13,4.61,4.66,4.53,4.57,505880700,4.57
2015-03-12,4.52,4.65,4.49,4.57,665406300,4.57
2015-03-11,4.43,4.52,4.43,4.46,318957600,4.46
2015-03-10,4.47,4.48,4.41,4.42,342244000,4.42
2015-03-09,4.36,4.56,4.31,4.52,526958900,4.52
2015-03-06,4.32,4.36,4.30,4.34,219538200,4.34
2015-03-05,4.35,4.37,4.28,4.31,295341100,4.31
2015-03-04,4.40,4.43,4.36,4.38,248473300,4.38
2015-03-03,4.54,4.55,4.40,4.40,439941700,4.40
2015-03-02,4.59,4.61,4.54,4.57,307229700,4.57
2015-02-27,4.60,4.62,4.54,4.58,381156200,4.58
2015-02-26,4.47,4.61,4.46,4.59,501162300,4.59
2015-02-25,4.49,4.53,4.46,4.49,316108300,4.49
2015-02-24,4.49,4.49,4.49,4.49,000,4.49
2015-02-23,4.49,4.49,4.49,4.49,000,4.49
2015-02-20,4.49,4.49,4.49,4.49,000,4.49
2015-02-19,4.49,4.49,4.49,4.49,000,4.49
2015-02-18,4.49,4.49,4.49,4.49,000,4.49
2015-02-17,4.43,4.52,4.43,4.49,325581000,4.49
2015-02-16,4.43,4.44,4.39,4.42,237106600,4.42
2015-02-13,4.36,4.46,4.35,4.44,482503100,4.44
2015-02-12,4.32,4.35,4.28,4.34,297367400,4.34
2015-02-11,4.31,4.36,4.30,4.33,296337000,4.33
2015-02-10,4.29,4.36,4.27,4.36,451046400,4.36
2015-02-09,4.27,4.34,4.24,4.30,475547800,4.30
2015-02-06,4.37,4.38,4.27,4.30,503713500,4.30
2015-02-05,4.59,4.61,4.39,4.40,760964900,4.40
2015-02-04,4.50,4.53,4.40,4.41,464394300,4.41
2015-02-03,4.45,4.51,4.37,4.50,561586500,4.50
2015-02-02,4.48,4.48,4.38,4.41,508024100,4.41
2015-01-30,4.59,4.62,4.51,4.54,419427300,4.54
2015-01-29,4.61,4.64,4.53,4.56,577536800,4.56
2015-01-28,4.73,4.77,4.65,4.69,551296800,4.69
2015-01-27,4.93,4.93,4.69,4.78,704101000,4.78
2015-01-26,4.97,4.99,4.84,4.93,532652400,4.93
2015-01-23,4.91,5.13,4.91,4.98,931939600,4.98
2015-01-22,4.92,4.93,4.80,4.88,569659300,4.88
2015-01-21,4.68,4.98,4.64,4.92,792843300,4.92
2015-01-20,4.66,4.74,4.53,4.64,647920900,4.64
2015-01-19,4.80,4.93,4.64,4.64,992468700,4.64
2015-01-16,5.12,5.27,5.10,5.15,786854000,5.15
2015-01-15,4.89,5.12,4.85,5.09,623208400,5.09
2015-01-14,4.84,4.97,4.83,4.89,539696400,4.89
2015-01-13,4.79,4.86,4.78,4.82,268526200,4.82
2015-01-12,4.85,4.92,4.72,4.82,547037400,4.82
2015-01-09,4.82,5.15,4.74,4.88,991590400,4.88
2015-01-08,5.05,5.07,4.80,4.83,692049000,4.83
2015-01-07,5.00,5.10,4.95,5.04,810596700,5.04
2015-01-06,5.00,5.36,4.95,5.10,1497561500,5.10
2015-01-05,4.97,5.15,4.92,5.06,1365851700,5.06
2015-01-02,4.87,4.87,4.87,4.87,000,4.87
2015-01-01,4.87,4.87,4.87,4.87,000,4.87
2014-12-31,4.73,4.92,4.65,4.87,1050294700,4.87
2014-12-30,4.61,4.78,4.57,4.71,696602700,4.71
2014-12-29,4.78,4.82,4.55,4.61,886266700,4.61
2014-12-26,4.47,4.64,4.45,4.62,670773400,4.62
2014-12-25,4.38,4.50,4.34,4.46,549303000,4.46
2014-12-24,4.51,4.53,4.26,4.33,624579700,4.33
2014-12-23,4.60,4.67,4.46,4.48,778303200,4.48
2014-12-22,4.46,4.80,4.46,4.71,1746555000,4.71
2014-12-19,4.34,4.45,4.31,4.41,605437600,4.41
2014-12-18,4.46,4.47,4.32,4.35,548007300,4.35
2014-12-17,4.27,4.52,4.21,4.47,996465500,4.47
2014-12-16,4.16,4.27,4.14,4.25,472326600,4.25
2014-12-15,4.18,4.19,4.07,4.13,342045000,4.13
2014-12-12,4.22,4.30,4.18,4.21,313792700,4.21
2014-12-11,4.21,4.31,4.17,4.20,372197300,4.20
2014-12-10,4.17,4.33,4.07,4.30,616082500,4.30
