Date,Open,High,Low,Close,Volume,Adj Close
2015-04-08,16.73,17.04,16.45,17.02,514816400,17.02
2015-04-07,16.50,16.87,16.45,16.71,502260200,16.71
2015-04-06,16.20,16.20,16.20,16.20,000,16.20
2015-04-03,16.00,16.29,15.93,16.20,320361500,16.20
2015-04-02,16.30,16.38,15.87,16.18,410087600,16.18
2015-04-01,15.79,16.14,15.75,15.95,305878300,15.95
2015-03-31,16.48,16.58,15.74,15.79,494049200,15.79
2015-03-30,15.55,16.20,15.44,16.02,487442600,16.02
2015-03-27,15.32,15.55,15.17,15.36,218174900,15.36
2015-03-26,15.15,15.58,15.04,15.36,282340700,15.36
2015-03-25,15.60,15.72,15.15,15.24,331730300,15.24
2015-03-24,15.89,16.00,15.60,15.69,324657500,15.69
2015-03-23,15.82,16.04,15.77,15.91,357592700,15.91
2015-03-20,15.62,16.09,15.37,15.75,456531200,15.75
2015-03-19,15.88,15.89,15.58,15.64,316770900,15.64
2015-03-18,15.57,15.88,15.43,15.88,354655100,15.88
2015-03-17,15.60,15.68,15.36,15.54,309677600,15.54
2015-03-16,15.56,15.61,15.20,15.47,316116600,15.47
2015-03-13,15.19,15.80,15.08,15.29,440178400,15.29
2015-03-12,14.65,15.56,14.58,15.12,632781900,15.12
2015-03-11,14.17,14.56,14.17,14.25,215069700,14.25
2015-03-10,14.32,14.37,14.07,14.10,254844700,14.10
2015-03-09,13.81,14.70,13.61,14.51,434801500,14.51
2015-03-06,13.58,13.78,13.54,13.63,128036300,13.63
2015-03-05,13.84,13.84,13.51,13.58,226504500,13.58
2015-03-04,14.05,14.07,13.85,13.91,156596000,13.91
2015-03-03,14.44,14.44,13.98,14.00,266372400,14.00
2015-03-02,14.58,14.58,14.36,14.48,218763200,14.48
2015-02-27,14.60,14.80,14.48,14.53,195606800,14.53
2015-02-26,14.25,14.68,14.11,14.62,215013900,14.62
2015-02-25,14.48,14.50,14.18,14.28,140932500,14.28
2015-02-24,14.47,14.47,14.47,14.47,000,14.47
2015-02-23,14.47,14.47,14.47,14.47,000,14.47
2015-02-20,14.47,14.47,14.47,14.47,000,14.47
2015-02-19,14.47,14.47,14.47,14.47,000,14.47
2015-02-18,14.47,14.47,14.47,14.47,000,14.47
2015-02-17,14.42,14.58,14.41,14.47,120665200,14.47
2015-02-16,14.43,14.46,14.26,14.40,139220000,14.40
2015-02-13,14.50,14.67,14.35,14.43,208366800,14.43
2015-02-12,14.42,14.43,14.11,14.35,148954100,14.35
2015-02-11,14.43,14.54,14.31,14.42,124127100,14.42
2015-02-10,14.15,14.48,14.08,14.43,183693500,14.43
2015-02-09,14.06,14.27,13.85,14.16,224585500,14.16
2015-02-06,14.09,14.32,13.95,14.09,186547500,14.09
2015-02-05,14.75,14.80,14.17,14.18,394332700,14.18
2015-02-04,14.50,14.59,14.12,14.18,167896200,14.18
2015-02-03,14.21,14.46,14.02,14.45,196263500,14.45
2015-02-02,14.06,14.26,13.99,14.04,211617600,14.04
2015-01-30,14.58,14.69,14.36,14.47,207865300,14.47
2015-01-29,14.58,14.68,14.32,14.42,266968000,14.42
2015-01-28,14.82,15.11,14.66,14.81,242203000,14.81
2015-01-27,15.44,15.44,14.75,15.01,351914000,15.01
2015-01-26,15.56,15.59,15.13,15.43,268566900,15.43
2015-01-23,15.74,16.04,15.54,15.63,320043000,15.63
2015-01-22,15.73,15.76,15.35,15.63,294738200,15.63
2015-01-21,15.10,15.87,14.81,15.74,487540300,15.74
2015-01-20,14.88,15.17,14.58,15.00,479215700,15.00
2015-01-19,15.38,15.73,14.82,14.82,623520900,14.82
2015-01-16,16.24,16.75,16.16,16.47,480245900,16.47
2015-01-15,15.49,16.15,15.39,16.12,329826800,16.12
2015-01-14,15.31,15.79,15.31,15.49,309018800,15.49
2015-01-13,15.13,15.41,15.10,15.18,178404900,15.18
2015-01-12,15.50,15.71,14.95,15.22,367787200,15.22
2015-01-09,15.20,16.25,15.11,15.43,491999900,15.43
2015-01-08,15.87,15.88,15.20,15.25,330627100,15.25
2015-01-07,15.90,16.17,15.53,15.81,385716800,15.81
2015-01-06,16.00,16.68,15.82,16.13,511684500,16.13
2015-01-05,15.94,16.25,15.56,16.07,513568700,16.07
2015-01-02,15.69,15.69,15.69,15.69,000,15.69
2015-01-01,15.69,15.69,15.69,15.69,000,15.69
2014-12-31,15.45,15.79,15.11,15.69,468832300,15.69
2014-12-30,14.95,15.50,14.83,15.36,443655500,15.36
2014-12-29,15.40,15.88,14.71,14.95,625216100,14.95
2014-12-26,14.30,14.84,14.19,14.77,466983100,14.77
2014-12-25,13.75,14.27,13.53,14.25,455721900,14.25
2014-12-24,14.11,14.20,13.31,13.46,417579500,13.46
2014-12-23,14.40,14.98,14.08,14.11,441578800,14.11
2014-12-22,14.18,15.20,14.14,14.68,683449500,14.68
2014-12-19,13.96,14.20,13.63,14.09,436244200,14.09
2014-12-18,14.22,14.34,13.71,13.89,499627800,13.89
2014-12-17,13.49,14.39,13.33,14.11,869703600,14.11
2014-12-16,12.88,13.30,12.85,13.29,438688000,13.29
2014-12-15,12.80,12.82,12.46,12.76,335025400,12.76
2014-12-12,13.05,13.38,12.78,12.98,310558700,12.98
2014-12-11,12.96,13.55,12.85,13.05,442571200,13.05
2014-12-10,12.70,13.25,12.21,13.16,620272400,13.16
