Date,Open,High,Low,Close,Volume,Adj Close
2015-04-08,69.21,71.00,65.85,67.38,3104900,67.38
2015-04-07,67.72,71.17,67.00,69.54,2850800,69.54
2015-04-06,67.95,67.95,67.95,67.95,000,67.95
2015-04-03,63.04,69.99,62.35,67.95,3470900,67.95
2015-04-02,60.70,66.00,60.46,64.57,4404800,64.57
2015-04-01,59.90,61.50,59.11,60.57,4032700,60.57
2015-03-31,62.33,62.33,58.95,60.53,7385800,60.53
2015-03-30,56.66,56.66,56.66,56.66,35200,56.66
2015-03-27,51.51,51.51,51.51,51.51,22100,51.51
2015-03-26,46.83,46.83,46.83,46.83,7500,46.83
2015-03-25,42.57,42.57,42.57,42.57,20700,42.57
