Date,Open,High,Low,Close,Volume,Adj Close
2015-04-08,9.00,10.00,8.87,9.21,72790800,9.21
2015-04-07,8.30,9.16,8.00,9.15,62149300,9.15
2015-04-06,8.33,8.33,8.33,8.33,000,8.33
2015-04-03,8.39,8.60,8.00,8.33,60994600,8.33
2015-04-02,7.14,7.84,7.13,7.84,54900800,7.84
2015-04-01,7.04,7.21,6.97,7.13,29572900,7.13
2015-03-31,7.10,7.12,6.86,7.07,43831200,7.07
2015-03-30,7.12,7.34,7.01,7.13,31007100,7.13
2015-03-27,7.28,7.30,7.00,7.13,32096300,7.13
2015-03-26,6.91,7.34,6.91,7.27,43325700,7.27
2015-03-25,6.79,6.97,6.71,6.89,32892700,6.89
2015-03-24,6.82,6.91,6.52,6.85,43043900,6.85
2015-03-23,6.64,6.96,6.56,6.80,44198500,6.80
2015-03-20,6.22,6.70,6.15,6.65,57942000,6.65
2015-03-19,6.07,6.26,5.90,6.23,50305100,6.23
2015-03-18,6.03,6.30,6.03,6.07,52921900,6.07
2015-03-17,5.67,6.14,5.59,6.02,62140900,6.02
2015-03-16,5.51,5.66,5.47,5.59,28366500,5.59
2015-03-13,5.23,5.59,5.23,5.47,31034100,5.47
2015-03-12,5.38,5.39,5.22,5.25,11097000,5.25
2015-03-11,5.23,5.32,5.20,5.23,11241400,5.23
2015-03-10,5.20,5.28,5.18,5.23,12478200,5.23
2015-03-09,5.14,5.21,5.12,5.21,12184400,5.21
2015-03-06,5.17,5.26,5.11,5.17,14953700,5.17
2015-03-05,5.23,5.24,5.10,5.16,13015200,5.16
2015-03-04,5.15,5.24,5.14,5.23,13652900,5.23
2015-03-03,5.12,5.28,5.09,5.19,22391600,5.19
2015-03-02,5.15,5.16,5.07,5.14,11577600,5.14
2015-02-27,5.13,5.15,5.08,5.12,9877200,5.12
2015-02-26,5.01,5.13,4.98,5.12,12771600,5.12
2015-02-25,5.02,5.04,4.98,4.99,5648500,4.99
2015-02-24,5.01,5.01,5.01,5.01,000,5.01
2015-02-23,5.01,5.01,5.01,5.01,000,5.01
2015-02-20,5.01,5.01,5.01,5.01,000,5.01
2015-02-19,5.01,5.01,5.01,5.01,000,5.01
2015-02-18,5.01,5.01,5.01,5.01,000,5.01
2015-02-17,5.00,5.03,4.96,5.01,8003000,5.01
2015-02-16,4.88,4.97,4.86,4.96,7702700,4.96
2015-02-13,4.79,4.91,4.79,4.88,7427800,4.88
2015-02-12,4.77,4.81,4.72,4.79,4911100,4.79
2015-02-11,4.82,4.84,4.73,4.78,5520600,4.78
2015-02-10,4.70,4.84,4.68,4.81,5901200,4.81
2015-02-09,4.72,4.79,4.67,4.70,4355600,4.70
2015-02-06,4.87,4.87,4.72,4.74,7294200,4.74
2015-02-05,4.95,4.95,4.83,4.91,7418400,4.91
2015-02-04,4.90,4.94,4.86,4.88,6527300,4.88
2015-02-03,4.87,4.93,4.84,4.89,6793500,4.89
2015-02-02,4.84,4.85,4.77,4.80,5959700,4.80
2015-01-30,4.98,5.03,4.85,4.89,8479900,4.89
2015-01-29,5.02,5.05,4.96,4.98,9033700,4.98
2015-01-28,5.05,5.10,5.02,5.06,10249100,5.06
2015-01-27,5.15,5.15,5.00,5.09,13829800,5.09
2015-01-26,5.07,5.15,5.06,5.15,11632100,5.15
2015-01-23,5.09,5.17,5.08,5.10,13317000,5.10
2015-01-22,5.22,5.22,5.05,5.15,21465100,5.15
2015-01-21,4.80,5.07,4.77,5.04,16856400,5.04
2015-01-20,4.60,4.78,4.60,4.76,9481200,4.76
2015-01-19,4.89,4.93,4.55,4.60,17122300,4.60
2015-01-16,5.02,5.05,4.96,5.04,9029500,5.04
2015-01-15,4.93,5.06,4.87,5.03,9707500,5.03
2015-01-14,5.06,5.07,4.88,4.92,12978500,4.92
2015-01-13,5.06,5.12,5.01,5.07,8879300,5.07
2015-01-12,5.24,5.24,5.01,5.04,17135300,5.04
2015-01-09,5.35,5.40,5.24,5.27,14637800,5.27
2015-01-08,5.43,5.53,5.33,5.38,15406000,5.38
2015-01-07,5.55,5.60,5.38,5.45,20479200,5.45
2015-01-06,5.34,5.72,5.34,5.52,37518900,5.52
2015-01-05,5.24,5.33,5.15,5.32,17589900,5.32
2015-01-02,5.18,5.18,5.18,5.18,000,5.18
2015-01-01,5.18,5.18,5.18,5.18,000,5.18
2014-12-31,5.15,5.25,5.11,5.18,12976200,5.18
2014-12-30,5.37,5.50,5.11,5.13,25300100,5.13
2014-12-29,5.45,5.66,5.32,5.40,29087900,5.40
2014-12-26,5.35,5.47,5.21,5.39,29020600,5.39
2014-12-25,5.23,5.40,5.21,5.37,20639600,5.37
2014-12-24,5.17,5.34,5.16,5.21,22711500,5.21
2014-12-23,5.50,5.51,5.15,5.17,40913700,5.17
2014-12-22,6.35,6.35,5.72,5.72,52600600,5.72
2014-12-19,5.80,6.38,5.70,6.36,95250900,6.36
2014-12-18,5.45,6.01,5.26,5.86,71634700,5.86
2014-12-17,5.38,5.69,5.31,5.51,40614800,5.51
2014-12-16,5.33,5.46,5.32,5.40,18296900,5.40
2014-12-15,5.47,5.53,5.32,5.41,20691500,5.41
2014-12-12,5.60,5.72,5.43,5.47,33097600,5.47
2014-12-11,5.39,5.80,5.32,5.57,66692800,5.57
2014-12-10,5.00,5.37,4.86,5.34,35603400,5.34
