Date,Open,High,Low,Close,Volume,Adj Close
2015-04-08,12.15,12.24,11.74,11.95,13389800,11.95
2015-04-07,11.58,12.15,11.54,12.11,15889700,12.11
2015-04-06,11.51,11.51,11.51,11.51,000,11.51
2015-04-03,11.38,11.52,11.24,11.51,13862200,11.51
2015-04-02,11.33,11.46,11.15,11.38,12868300,11.38
2015-04-01,10.88,11.33,10.87,11.32,13954700,11.32
2015-03-31,11.15,11.25,10.90,10.91,11776900,10.91
2015-03-30,10.84,11.20,10.76,11.12,15256700,11.12
2015-03-27,10.67,10.87,10.58,10.79,10371900,10.79
2015-03-26,10.51,10.80,10.41,10.68,11320300,10.68
2015-03-25,10.60,10.69,10.45,10.65,11848300,10.65
2015-03-24,11.00,11.00,10.43,10.69,15929700,10.69
2015-03-23,10.88,11.10,10.83,11.02,13330500,11.02
2015-03-20,11.08,11.15,10.85,10.90,10551700,10.90
2015-03-19,10.92,11.18,10.80,11.16,14127800,11.16
2015-03-18,10.84,10.93,10.76,10.92,8818300,10.92
2015-03-17,10.95,11.05,10.67,10.84,11103900,10.84
2015-03-16,10.80,11.01,10.58,10.94,11196400,10.94
2015-03-13,10.42,11.09,10.42,10.70,10143800,10.70
2015-03-12,10.39,10.56,10.24,10.38,6060100,10.38
2015-03-11,10.24,10.48,10.19,10.39,6638200,10.39
2015-03-10,10.29,10.54,10.21,10.28,7751900,10.28
2015-03-09,10.28,10.36,10.06,10.27,6890600,10.27
2015-03-06,10.54,10.65,10.31,10.37,7972700,10.37
2015-03-05,10.50,10.70,10.25,10.61,10453600,10.61
2015-03-04,10.27,10.57,10.16,10.50,11612000,10.50
2015-03-03,9.90,10.77,9.80,10.39,25148900,10.39
2015-03-02,9.44,9.90,9.38,9.88,13574600,9.88
2015-02-27,9.45,9.52,9.36,9.41,7079500,9.41
2015-02-26,9.34,9.52,9.30,9.47,7673600,9.47
2015-02-25,9.79,9.81,9.45,9.45,8741400,9.45
2015-02-24,9.78,9.78,9.78,9.78,000,9.78
2015-02-23,9.78,9.78,9.78,9.78,000,9.78
2015-02-20,9.78,9.78,9.78,9.78,000,9.78
2015-02-19,9.78,9.78,9.78,9.78,000,9.78
2015-02-18,9.78,9.78,9.78,9.78,000,9.78
2015-02-17,9.58,9.79,9.54,9.78,10268200,9.78
2015-02-16,9.60,9.68,9.46,9.59,10500200,9.59
2015-02-13,9.61,9.76,9.44,9.60,12336500,9.60
2015-02-12,9.30,9.57,9.27,9.56,10562900,9.56
2015-02-11,9.17,9.35,9.12,9.32,6858800,9.32
2015-02-10,9.44,9.54,9.11,9.17,11049400,9.17
2015-02-09,9.39,9.49,9.20,9.47,25250600,9.47
2015-02-06,9.34,9.45,9.25,9.35,11880400,9.35
2015-02-05,9.40,9.45,9.27,9.35,12636200,9.35
2015-02-04,9.17,9.39,9.03,9.34,11760700,9.34
2015-02-03,8.86,9.20,8.86,9.10,8585300,9.10
2015-02-02,8.73,8.99,8.62,8.90,6786600,8.90
2015-01-30,8.83,8.89,8.77,8.82,3547600,8.82
2015-01-29,8.77,8.83,8.69,8.82,4243500,8.82
2015-01-28,8.80,8.87,8.72,8.77,4181400,8.77
2015-01-27,8.80,8.90,8.70,8.81,5709500,8.81
2015-01-26,8.64,8.81,8.61,8.80,4885100,8.80
2015-01-23,8.77,8.78,8.62,8.67,4290500,8.67
2015-01-22,8.67,8.77,8.61,8.75,5287800,8.75
2015-01-21,8.50,8.68,8.47,8.67,6253900,8.67
2015-01-20,8.19,8.50,8.19,8.49,5695100,8.49
2015-01-19,8.40,8.63,8.21,8.30,6810100,8.30
2015-01-16,8.54,8.68,8.47,8.67,5512900,8.67
2015-01-15,8.70,8.70,8.37,8.58,10688800,8.58
2015-01-14,9.01,9.07,8.84,8.87,3430000,8.87
2015-01-13,8.85,9.03,8.70,8.99,4020000,8.99
2015-01-12,9.18,9.18,8.80,8.86,5760600,8.86
2015-01-09,9.44,9.45,9.19,9.20,7568200,9.20
2015-01-08,9.62,9.71,9.41,9.44,8523200,9.44
2015-01-07,9.45,9.70,9.38,9.59,11371500,9.59
2015-01-06,9.54,9.54,9.20,9.37,10360900,9.37
2015-01-05,9.38,9.61,9.38,9.54,12917200,9.54
2015-01-02,9.36,9.36,9.36,9.36,000,9.36
2015-01-01,9.36,9.36,9.36,9.36,000,9.36
2014-12-31,9.23,9.45,9.15,9.36,7483700,9.36
2014-12-30,9.26,9.51,9.15,9.23,7651100,9.23
2014-12-29,9.47,9.63,9.21,9.24,12735500,9.24
2014-12-26,9.10,9.46,9.05,9.41,15502400,9.41
2014-12-25,8.88,9.07,8.87,8.99,6374200,8.99
2014-12-24,8.63,8.88,8.63,8.87,5197800,8.87
2014-12-23,8.56,8.84,8.56,8.63,4559800,8.63
2014-12-22,8.80,8.87,8.45,8.62,7991800,8.62
2014-12-19,8.96,8.98,8.68,8.80,8796700,8.80
2014-12-18,9.05,9.14,8.91,8.95,7083400,8.95
2014-12-17,9.01,9.18,8.92,9.05,11571700,9.05
2014-12-16,8.96,9.01,8.90,8.99,6559800,8.99
2014-12-15,8.94,9.15,8.91,9.02,7709300,9.02
2014-12-12,8.93,8.98,8.82,8.94,6851000,8.94
2014-12-11,8.53,8.93,8.48,8.92,10181100,8.92
2014-12-10,8.45,8.62,8.29,8.61,7740900,8.61
