Date,Open,High,Low,Close,Volume,Adj Close
2015-04-08,15.47,15.49,14.73,15.03,14079600,15.03
2015-04-07,15.43,15.50,15.15,15.43,14531700,15.43
2015-04-06,15.43,15.43,15.43,15.43,000,15.43
2015-04-03,15.60,15.97,15.32,15.43,14573500,15.43
2015-04-02,15.40,15.73,15.23,15.62,12423000,15.62
2015-04-01,15.15,15.65,15.00,15.51,15278600,15.51
2015-03-31,14.48,15.40,14.25,15.15,20557000,15.15
2015-03-30,14.48,14.95,14.36,14.46,12943700,14.46
2015-03-27,14.03,14.50,13.93,14.46,11728100,14.46
2015-03-26,13.84,14.08,13.59,14.02,8755800,14.02
2015-03-25,14.08,14.10,13.70,13.90,10200700,13.90
2015-03-24,14.68,14.78,13.57,14.06,14258500,14.06
2015-03-23,14.24,14.64,14.19,14.58,11621500,14.58
2015-03-20,14.32,14.41,14.10,14.24,9276400,14.24
2015-03-19,14.52,14.64,14.21,14.43,10261300,14.43
2015-03-18,14.15,14.54,13.97,14.52,12239700,14.52
2015-03-17,14.08,14.35,13.90,14.19,10454300,14.19
2015-03-16,13.68,14.13,13.65,14.10,9139500,14.10
2015-03-13,13.70,13.85,13.60,13.72,5342800,13.72
2015-03-12,13.52,13.78,13.31,13.66,5948100,13.66
2015-03-11,13.70,13.91,13.41,13.45,5748500,13.45
2015-03-10,13.62,13.80,13.40,13.77,6289100,13.77
2015-03-09,13.46,13.66,13.11,13.63,7098100,13.63
2015-03-06,14.30,14.45,13.45,13.51,11671400,13.51
2015-03-05,14.23,14.45,13.90,14.30,9011300,14.30
2015-03-04,14.20,14.99,14.06,14.22,16301600,14.22
2015-03-03,13.74,14.39,13.41,14.33,16127300,14.33
2015-03-02,13.60,13.99,13.60,13.73,15927100,13.73
2015-02-27,13.30,13.65,13.27,13.58,11777000,13.58
2015-02-26,13.56,13.57,13.26,13.40,11554800,13.40
2015-02-25,13.66,14.34,13.53,13.61,16441800,13.61
2015-02-24,13.52,13.52,13.52,13.52,000,13.52
2015-02-23,13.52,13.52,13.52,13.52,000,13.52
2015-02-20,13.52,13.52,13.52,13.52,000,13.52
2015-02-19,13.52,13.52,13.52,13.52,000,13.52
2015-02-18,13.52,13.52,13.52,13.52,000,13.52
2015-02-17,13.60,13.88,13.50,13.52,13534000,13.52
2015-02-16,13.26,14.07,13.22,13.81,28455600,13.81
2015-02-13,11.86,13.05,11.82,13.05,21283200,13.05
2015-02-12,11.86,12.06,11.76,11.86,5475900,11.86
2015-02-11,11.68,11.95,11.55,11.91,5984100,11.91
2015-02-10,11.67,11.93,11.51,11.68,5769200,11.68
2015-02-09,11.39,11.80,11.35,11.69,9339600,11.69
2015-02-06,11.16,11.50,10.99,11.30,6925300,11.30
2015-02-05,11.29,11.29,11.06,11.16,3708100,11.16
2015-02-04,11.28,11.28,11.12,11.14,3714600,11.14
2015-02-03,11.25,11.29,11.08,11.26,4270300,11.26
2015-02-02,11.12,11.31,10.90,11.15,6406600,11.15
2015-01-30,11.94,12.33,11.47,11.49,17385600,11.49
2015-01-29,11.51,11.59,11.31,11.47,5172600,11.47
2015-01-28,11.40,11.85,11.30,11.59,10869800,11.59
2015-01-27,11.41,11.65,11.20,11.40,7933000,11.40
2015-01-26,11.17,11.71,11.10,11.47,12879800,11.47
2015-01-23,11.11,11.37,11.06,11.10,9376500,11.10
2015-01-22,10.76,11.32,10.76,11.11,9105900,11.11
2015-01-21,10.50,10.88,10.50,10.81,5024600,10.81
2015-01-20,10.32,10.53,10.21,10.52,4613500,10.52
2015-01-19,10.40,10.51,10.12,10.18,4543200,10.18
2015-01-16,10.40,10.56,10.38,10.53,3532100,10.53
2015-01-15,10.31,10.41,10.10,10.39,2221900,10.39
2015-01-14,10.42,10.47,10.25,10.31,2572200,10.31
2015-01-13,10.36,10.44,10.27,10.42,2721200,10.42
2015-01-12,10.78,10.78,10.26,10.35,5403500,10.35
2015-01-09,10.91,11.22,10.84,10.85,6949500,10.85
2015-01-08,11.15,11.20,10.90,11.04,4664300,11.04
2015-01-07,11.24,11.34,10.91,11.21,5547900,11.21
2015-01-06,11.20,11.23,11.05,11.17,5072500,11.17
2015-01-05,11.05,11.35,10.99,11.24,8007900,11.24
2015-01-02,11.08,11.08,11.08,11.08,000,11.08
2015-01-01,11.08,11.08,11.08,11.08,000,11.08
2014-12-31,10.57,11.13,10.51,11.08,7693700,11.08
2014-12-30,10.59,10.69,10.34,10.62,4323100,10.62
2014-12-29,10.60,10.67,10.31,10.59,4186100,10.59
2014-12-26,10.56,10.79,10.54,10.68,3870700,10.68
2014-12-25,10.59,10.69,10.48,10.63,3469300,10.63
2014-12-24,10.35,10.72,10.32,10.61,4529600,10.61
2014-12-23,10.20,10.46,10.11,10.31,3657000,10.31
2014-12-22,10.56,10.65,9.80,10.24,8212000,10.24
2014-12-19,10.89,10.91,10.41,10.65,5142900,10.65
2014-12-18,10.87,11.10,10.78,10.82,3745100,10.82
2014-12-17,11.17,11.18,10.84,10.85,5725900,10.85
2014-12-16,11.10,11.25,11.04,11.22,5359400,11.22
2014-12-15,11.09,11.40,11.08,11.29,8132500,11.29
2014-12-12,10.80,11.21,10.76,11.17,7420400,11.17
2014-12-11,10.71,10.85,10.53,10.80,5175300,10.80
2014-12-10,10.45,10.75,10.27,10.71,5084000,10.71
