Date,Open,High,Low,Close,Volume,Adj Close
2015-04-08,13.90,13.90,13.22,13.37,60363800,13.37
2015-04-07,13.87,13.95,13.67,13.81,53606200,13.81
2015-04-06,13.82,13.82,13.82,13.82,000,13.82
2015-04-03,13.36,13.88,13.28,13.82,70526600,13.82
2015-04-02,13.50,13.88,13.12,13.48,72832600,13.48
2015-04-01,12.94,13.46,12.79,13.45,70759200,13.45
2015-03-31,12.74,13.27,12.70,12.93,74374500,12.93
2015-03-30,12.66,12.79,12.52,12.74,47018300,12.74
2015-03-27,12.69,12.76,12.45,12.59,33982200,12.59
2015-03-26,12.58,12.85,12.35,12.69,46266800,12.69
2015-03-25,12.78,12.78,12.31,12.58,55431200,12.58
2015-03-24,13.01,13.30,12.45,12.79,67696000,12.79
2015-03-23,12.74,13.25,12.60,12.99,50727300,12.99
2015-03-20,12.65,12.89,12.56,12.71,40786800,12.71
2015-03-19,12.70,12.98,12.42,12.65,57536000,12.65
2015-03-18,12.53,12.73,12.35,12.59,48247000,12.59
2015-03-17,12.35,12.85,12.18,12.53,68092000,12.53
2015-03-16,12.00,12.45,11.90,12.34,47370400,12.34
2015-03-13,11.85,12.08,11.50,11.90,22966600,11.90
2015-03-12,12.14,12.17,11.67,11.78,34387400,11.78
2015-03-11,12.13,12.50,12.05,12.13,48435200,12.13
2015-03-10,11.75,12.29,11.69,12.02,35116600,12.02
2015-03-09,11.59,11.83,11.28,11.81,27749600,11.81
2015-03-06,12.24,12.31,11.61,11.65,36935400,11.65
2015-03-05,12.15,12.31,11.87,12.16,41047500,12.16
2015-03-04,12.18,12.35,11.82,12.16,62039500,12.16
2015-03-03,11.40,12.54,11.25,12.06,98335900,12.06
2015-03-02,11.25,11.55,11.20,11.40,51027100,11.40
2015-02-27,10.94,11.60,10.94,11.13,64078800,11.13
2015-02-26,10.99,11.10,10.76,10.95,36240600,10.95
2015-02-25,10.60,11.10,10.53,10.91,48301600,10.91
2015-02-24,10.57,10.57,10.57,10.57,000,10.57
2015-02-23,10.57,10.57,10.57,10.57,000,10.57
2015-02-20,10.57,10.57,10.57,10.57,000,10.57
2015-02-19,10.57,10.57,10.57,10.57,000,10.57
2015-02-18,10.57,10.57,10.57,10.57,000,10.57
2015-02-17,10.67,10.70,10.50,10.57,21261600,10.57
2015-02-16,10.54,10.72,10.40,10.65,22700000,10.65
2015-02-13,10.44,10.65,10.31,10.49,31035000,10.49
2015-02-12,10.33,10.50,10.27,10.36,18658800,10.36
2015-02-11,10.35,10.38,10.19,10.33,15962200,10.33
2015-02-10,9.96,10.34,9.96,10.31,16818800,10.31
2015-02-09,9.91,10.15,9.91,9.96,16237100,9.96
2015-02-06,10.18,10.34,9.88,9.91,19396500,9.91
2015-02-05,10.56,10.60,10.15,10.18,25415800,10.18
2015-02-04,10.46,10.75,10.41,10.48,39987500,10.48
2015-02-03,10.51,10.57,10.26,10.43,25753600,10.43
2015-02-02,10.17,10.50,10.00,10.44,30202400,10.44
2015-01-30,10.32,10.44,10.02,10.19,28781700,10.19
2015-01-29,10.30,10.42,10.16,10.21,28754400,10.21
2015-01-28,10.58,10.72,10.42,10.44,35135900,10.44
2015-01-27,10.45,10.77,10.39,10.58,51653500,10.58
2015-01-26,10.82,11.08,10.48,10.67,91537000,10.67
2015-01-23,10.50,11.13,10.13,10.82,115231400,10.82
2015-01-22,9.40,10.32,9.30,10.32,78493700,10.32
2015-01-21,9.14,9.40,9.09,9.38,27349900,9.38
2015-01-20,8.89,9.21,8.89,9.13,19601300,9.13
2015-01-19,9.20,9.33,8.57,8.87,27478900,8.87
2015-01-16,9.45,9.46,9.36,9.39,21565200,9.39
2015-01-15,9.24,9.50,9.16,9.40,18212400,9.40
2015-01-14,9.19,9.51,9.10,9.28,22829500,9.28
2015-01-13,8.96,9.28,8.91,9.18,15134500,9.18
2015-01-12,9.43,9.43,8.92,9.00,28839500,9.00
2015-01-09,9.63,9.77,9.41,9.44,22417700,9.44
2015-01-08,9.63,9.83,9.51,9.66,26086300,9.66
2015-01-07,9.80,9.80,9.53,9.66,28730700,9.66
2015-01-06,9.48,9.96,9.40,9.84,50795100,9.84
2015-01-05,9.25,9.54,9.21,9.49,29205000,9.49
2015-01-02,9.39,9.39,9.39,9.39,000,9.39
2015-01-01,9.39,9.39,9.39,9.39,000,9.39
2014-12-31,9.25,9.55,9.19,9.39,24557100,9.39
2014-12-30,9.63,9.69,9.18,9.19,36214400,9.19
2014-12-29,9.93,9.93,9.43,9.70,55547800,9.70
2014-12-26,10.02,10.06,9.80,10.01,43423300,10.01
2014-12-25,9.74,10.10,9.71,10.02,45242700,10.02
2014-12-24,9.70,10.16,9.43,9.88,91992300,9.88
2014-12-23,10.48,10.48,10.48,10.48,12131500,10.48
2014-12-22,11.64,11.64,11.64,11.64,000,11.64
2014-12-19,11.64,11.64,11.64,11.64,000,11.64
2014-12-18,11.64,11.64,11.64,11.64,000,11.64
2014-12-17,11.64,11.64,11.64,11.64,000,11.64
2014-12-16,11.64,11.64,11.64,11.64,000,11.64
2014-12-15,10.42,11.64,10.14,11.64,171919000,11.64
2014-12-12,10.49,10.72,10.42,10.58,39023100,10.58
2014-12-11,10.48,10.78,10.17,10.58,57169700,10.58
2014-12-10,10.19,10.67,9.77,10.50,68996000,10.50
