Date,Open,High,Low,Close,Volume,Adj Close
2015-04-08,8.18,8.19,7.82,7.93,33226600,7.93
2015-04-07,7.98,8.26,7.94,8.13,35221800,8.13
2015-04-06,7.91,7.91,7.91,7.91,000,7.91
2015-04-03,7.76,7.98,7.72,7.91,37197500,7.91
2015-04-02,7.60,7.87,7.55,7.86,50644700,7.86
2015-04-01,7.42,7.59,7.40,7.58,25026300,7.58
2015-03-31,7.59,7.75,7.41,7.47,33819900,7.47
2015-03-30,7.47,7.58,7.40,7.56,40638900,7.56
2015-03-27,7.38,7.53,7.38,7.42,25147100,7.42
2015-03-26,7.29,7.40,7.21,7.36,28630800,7.36
2015-03-25,7.35,7.38,7.21,7.30,19424100,7.30
2015-03-24,7.56,7.57,7.18,7.42,30796600,7.42
2015-03-23,7.33,7.58,7.33,7.54,36511400,7.54
2015-03-20,7.33,7.38,7.24,7.29,24842600,7.29
2015-03-19,7.30,7.46,7.21,7.34,31412200,7.34
2015-03-18,7.16,7.35,7.11,7.30,29191600,7.30
2015-03-17,7.06,7.16,7.00,7.15,32263800,7.15
2015-03-16,6.91,7.07,6.84,7.06,27923800,7.06
2015-03-13,6.75,7.04,6.75,6.90,24017100,6.90
2015-03-12,6.68,6.76,6.63,6.73,11072900,6.73
2015-03-11,6.81,6.89,6.63,6.68,14122600,6.68
2015-03-10,6.83,6.88,6.78,6.84,11861900,6.84
2015-03-09,6.70,6.89,6.60,6.85,18370400,6.85
2015-03-06,6.60,6.80,6.57,6.75,12454600,6.75
2015-03-05,6.71,6.71,6.52,6.60,10363700,6.60
2015-03-04,6.67,6.73,6.62,6.72,9553300,6.72
2015-03-03,6.83,6.83,6.63,6.67,12588300,6.67
2015-03-02,6.79,6.90,6.71,6.88,12085300,6.88
2015-02-27,6.73,6.86,6.70,6.75,10083400,6.75
2015-02-26,6.47,6.83,6.44,6.76,14619800,6.76
2015-02-25,6.59,6.59,6.46,6.48,6702000,6.48
2015-02-24,6.58,6.58,6.58,6.58,000,6.58
2015-02-23,6.58,6.58,6.58,6.58,000,6.58
2015-02-20,6.58,6.58,6.58,6.58,000,6.58
2015-02-19,6.58,6.58,6.58,6.58,000,6.58
2015-02-18,6.58,6.58,6.58,6.58,000,6.58
2015-02-17,6.56,6.62,6.53,6.58,6256700,6.58
2015-02-16,6.44,6.57,6.44,6.55,6962000,6.55
2015-02-13,6.38,6.49,6.35,6.44,10651400,6.44
2015-02-12,6.35,6.37,6.24,6.32,8159900,6.32
2015-02-11,6.34,6.39,6.31,6.35,6647400,6.35
2015-02-10,6.25,6.35,6.22,6.34,6629000,6.34
2015-02-09,6.29,6.37,6.15,6.27,8518200,6.27
2015-02-06,6.45,6.47,6.25,6.28,7673200,6.28
2015-02-05,6.70,6.71,6.41,6.44,7137100,6.44
2015-02-04,6.67,6.72,6.58,6.59,7823100,6.59
2015-02-03,6.43,6.65,6.43,6.65,13688900,6.65
2015-02-02,6.43,6.48,6.37,6.41,7448000,6.41
2015-01-30,6.65,6.69,6.51,6.51,8636900,6.51
2015-01-29,6.55,6.72,6.51,6.65,14913700,6.65
2015-01-28,6.78,6.78,6.62,6.64,17675000,6.64
2015-01-27,6.88,6.97,6.70,6.83,11572900,6.83
2015-01-26,6.80,6.93,6.66,6.89,10713900,6.89
2015-01-23,6.93,7.00,6.78,6.85,10700700,6.85
2015-01-22,6.75,7.09,6.71,6.93,15353700,6.93
2015-01-21,6.48,6.82,6.45,6.79,18351500,6.79
2015-01-20,6.39,6.54,6.34,6.48,14330300,6.48
2015-01-19,6.70,6.81,6.35,6.35,21176800,6.35
2015-01-16,7.03,7.15,6.98,7.05,10209200,7.05
2015-01-15,6.88,7.05,6.71,7.03,10271200,7.03
2015-01-14,7.05,7.11,6.75,6.83,12998900,6.83
2015-01-13,7.05,7.13,7.01,7.05,9446200,7.05
2015-01-12,7.30,7.30,7.02,7.07,15681100,7.07
2015-01-09,7.48,7.60,7.36,7.36,17972400,7.36
2015-01-08,7.60,7.80,7.42,7.54,21037800,7.54
2015-01-07,7.51,7.77,7.44,7.69,22091400,7.69
2015-01-06,8.04,8.18,7.55,7.70,52410000,7.70
2015-01-05,7.35,7.91,7.33,7.91,46005600,7.91
2015-01-02,7.19,7.19,7.19,7.19,000,7.19
2015-01-01,7.19,7.19,7.19,7.19,000,7.19
2014-12-31,7.04,7.25,7.01,7.19,13587200,7.19
2014-12-30,7.19,7.20,6.98,7.05,16995200,7.05
2014-12-29,7.39,7.66,7.10,7.19,18852300,7.19
2014-12-26,7.26,7.42,7.18,7.39,14900100,7.39
2014-12-25,7.11,7.24,7.05,7.23,15446800,7.23
2014-12-24,7.31,7.41,6.96,7.02,23434900,7.02
2014-12-23,7.90,7.90,7.33,7.38,21903500,7.38
2014-12-22,7.63,8.26,7.60,7.95,49345300,7.95
2014-12-19,7.41,7.68,7.26,7.63,28928900,7.63
2014-12-18,7.48,7.69,7.42,7.45,20031600,7.45
2014-12-17,7.70,7.72,7.36,7.47,27235600,7.47
2014-12-16,7.25,7.79,7.24,7.78,37554700,7.78
2014-12-15,7.55,7.55,7.22,7.39,21949300,7.39
2014-12-12,7.57,7.84,7.52,7.61,18417800,7.61
2014-12-11,7.61,7.85,7.37,7.65,28059700,7.65
2014-12-10,7.64,7.93,7.20,7.82,32843000,7.82
